,epsilon_progress,nfe
0,0,0
1,9,100
2,15,1100
3,16,2100
4,17,3100
5,17,4100
6,17,5100
7,17,6100
8,17,7100
9,17,8100
10,17,9100
11,22,10154
12,24,11162
13,24,12170
14,24,13178
15,24,14186
16,24,15194
17,24,16202
18,24,17210
19,24,18218
20,24,19226
21,24,20234
22,24,21242
23,24,22250
24,24,23258
25,24,24266
26,24,25274
27,24,26282
28,24,27290
29,24,28298
30,24,29306
31,24,30314
32,24,31322
33,24,32330
34,24,33338
35,24,34346
36,24,35354
37,24,36362
38,24,37370
39,24,38378
40,24,39386
41,24,40394
42,24,41402
43,24,42410
44,24,43418
45,24,44426
46,24,45434
47,24,46442
48,24,47450
49,24,48458
50,24,49466
51,24,50474
52,24,51482
53,24,52490
54,24,53498
55,24,54506
56,24,55514
57,24,56522
58,24,57530
59,24,58538
60,24,59546
61,24,60554
62,24,61562
63,24,62570
64,24,63578
65,24,64586
66,24,65594
67,35,66602
68,35,67626
69,35,68650
70,35,69674
71,35,70698
72,35,71722
73,46,72754
74,46,73810
75,46,74866
76,46,75922
77,46,76978
78,46,78034
79,46,79090
80,46,80146
81,46,81202
82,51,82264
83,60,83352
84,60,84440
85,61,85528
86,61,86616
87,61,87704
88,61,88792
89,61,89880
90,61,90968
91,61,92056
92,61,93144
93,61,94232
94,61,95320
95,61,96408
96,61,97496
97,61,98584
98,61,99672
99,61,100760
100,61,101848
101,61,102936
102,61,104024
103,61,105112
104,61,106200
105,61,107288
106,61,108376
107,61,109464
108,61,110552
109,61,111640
110,61,112728
111,61,113816
112,61,114904
113,61,115992
114,61,117080
115,61,118168
116,61,119256
117,61,120344
118,61,121432
119,61,122520
120,61,123608
121,61,124696
122,61,125784
123,61,126872
124,61,127960
125,61,129048
126,61,130136
127,61,131224
128,61,132312
129,61,133400
130,61,134488
131,61,135576
132,61,136664
133,61,137752
134,61,138840
135,61,139928
136,61,141016
137,61,142104
138,61,143192
139,61,144280
140,61,145368
141,61,146456
142,61,147544
143,61,148632
144,61,149720
145,61,150808
146,61,151896
147,61,152984
148,61,154072
149,61,155160
150,61,156248
151,61,157336
152,61,158424
153,61,159512
154,61,160600
155,61,161688
156,61,162776
157,61,163864
158,61,164952
159,61,166040
160,61,167128
161,61,168216
162,61,169304
163,61,170392
164,61,171480
165,61,172568
166,61,173656
167,61,174744
168,61,175832
169,61,176920
170,61,178008
171,61,179096
172,61,180184
173,61,181272
174,61,182360
175,61,183448
176,61,184536
177,61,185624
178,61,186712
179,61,187800
180,61,188888
181,61,189976
182,61,191064
183,61,192152
184,61,193240
185,61,194328
186,61,195416
187,61,196504
188,61,197592
189,61,198680
190,61,199768
191,61,200856
192,61,201944
193,61,203032
194,61,204120
195,61,205208
196,61,206296
197,61,207384
198,61,208472
199,61,209560
200,61,210648
201,61,211736
202,61,212824
203,61,213912
204,61,215000
205,61,216088
206,61,217176
207,61,218264
208,69,219276
209,69,220326
210,69,221376
211,69,222426
212,69,223476
213,69,224526
214,69,225576
215,69,226626
216,69,227676
217,69,228726
218,69,229776
219,69,230826
220,69,231876
221,69,232926
222,69,233976
223,69,235026
224,69,236076
225,69,237126
226,69,238176
227,69,239226
228,69,240276
229,69,241326
230,69,242376
231,69,243426
232,69,244476
233,69,245526
234,69,246576
235,69,247626
236,69,248676
237,69,249726
238,69,250776
239,69,251826
240,69,252876
241,69,253926
242,69,254976
243,69,256026
244,69,257076
245,69,258126
246,69,259176
247,69,260226
248,69,261276
249,69,262326
250,69,263376
251,69,264426
252,69,265476
253,69,266526
254,69,267576
255,69,268626
256,69,269676
257,69,270726
258,69,271776
259,69,272826
260,69,273876
261,69,274926
262,69,275976
263,69,277026
264,69,278076
265,69,279126
266,69,280176
267,69,281226
268,69,282276
269,69,283326
270,69,284376
271,69,285426
272,69,286476
273,69,287526
274,69,288576
275,69,289626
276,69,290676
277,69,291726
278,69,292776
279,69,293826
280,69,294876
281,69,295926
282,69,296976
283,69,298026
284,69,299076
285,69,300126
286,69,301176
287,69,302226
288,69,303276
289,69,304326
290,69,305376
291,69,306426
292,69,307476
293,69,308526
294,69,309576
295,69,310626
296,69,311676
297,69,312726
298,69,313776
299,69,314826
300,69,315876
301,69,316926
302,69,317976
303,69,319026
304,69,320076
305,69,321126
306,69,322176
307,69,323226
308,69,324276
309,69,325326
310,69,326376
311,69,327426
312,69,328476
313,69,329526
314,69,330576
315,69,331626
316,69,332676
317,69,333726
318,69,334776
319,69,335826
320,69,336876
321,69,337926
322,69,338976
323,69,340026
324,69,341076
325,69,342126
326,69,343176
327,69,344226
328,69,345276
329,69,346326
330,69,347376
331,69,348426
332,69,349476
333,69,350526
334,69,351576
335,69,352626
336,69,353676
337,69,354726
338,69,355776
339,69,356826
340,69,357876
341,69,358926
342,69,359976
343,69,361026
344,69,362076
345,69,363126
346,69,364176
347,69,365226
348,69,366276
349,69,367326
350,69,368376
351,76,369510
352,76,370518
353,76,371526
354,76,372534
355,76,373542
356,76,374550
357,76,375558
358,76,376566
359,76,377574
360,76,378582
361,76,379590
362,76,380598
363,76,381606
364,76,382614
365,76,383622
366,76,384630
367,76,385638
368,76,386646
369,76,387654
370,76,388662
371,76,389670
372,76,390678
373,76,391686
374,76,392694
375,76,393702
376,76,394710
377,76,395718
378,76,396726
379,76,397734
380,76,398742
381,76,399750
382,76,400758
383,76,401766
384,76,402774
385,76,403782
386,76,404790
387,76,405798
388,76,406806
389,76,407814
390,76,408822
391,76,409830
392,76,410838
393,76,411846
394,76,412854
395,76,413862
396,76,414870
397,76,415878
398,76,416886
399,76,417894
400,76,418902
401,76,419910
402,76,420918
403,76,421926
404,76,422934
405,76,423942
406,76,424950
407,76,425958
408,76,426966
409,76,427974
410,76,428982
411,76,429990
412,76,430998
413,76,432006
414,76,433014
415,76,434022
416,76,435030
417,76,436038
418,76,437046
419,76,438054
420,76,439062
421,76,440070
422,76,441078
423,76,442086
424,76,443094
425,76,444102
426,76,445110
427,76,446118
428,76,447126
429,76,448134
430,76,449142
431,76,450150
432,76,451158
433,76,452166
434,76,453174
435,76,454182
436,76,455190
437,76,456198
438,76,457206
439,76,458214
440,76,459222
441,76,460230
442,76,461238
443,76,462246
444,76,463254
445,76,464262
446,76,465270
447,76,466278
448,76,467286
449,76,468294
450,76,469302
451,76,470310
452,76,471318
453,76,472326
454,76,473334
455,76,474342
456,76,475350
457,76,476358
458,76,477366
459,76,478374
460,76,479382
461,76,480390
462,76,481398
463,76,482406
464,76,483414
465,76,484422
466,76,485430
467,76,486438
468,76,487446
469,76,488454
470,76,489462
471,76,490470
472,76,491478
473,76,492486
474,76,493494
475,76,494502
476,76,495510
477,76,496518
478,76,497526
479,76,498534
480,76,499542
