,epsilon_progress,nfe
0,0,0
1,4,100
2,4,1100
3,4,2100
4,4,3100
5,4,4100
6,4,5100
7,4,6100
8,4,7100
9,4,8100
10,4,9100
11,4,10100
12,4,11100
13,4,12100
14,4,13100
15,4,14100
16,4,15100
17,4,16100
18,4,17100
19,4,18100
20,4,19100
21,4,20100
22,4,21100
23,4,22100
24,4,23100
25,4,24100
26,4,25100
27,4,26100
28,4,27100
29,4,28100
30,4,29100
31,4,30100
32,4,31100
33,4,32100
34,4,33100
35,4,34100
36,4,35100
37,4,36100
38,4,37100
39,4,38100
40,4,39100
41,4,40100
42,4,41100
43,4,42100
44,4,43100
45,4,44100
46,4,45100
47,4,46100
48,4,47100
49,4,48100
50,4,49100
51,4,50100
52,4,51100
53,4,52100
54,4,53100
55,4,54100
56,4,55100
57,4,56100
58,4,57100
59,4,58100
60,4,59100
61,4,60100
62,4,61100
63,4,62100
64,4,63100
65,4,64100
66,4,65100
67,4,66100
68,4,67100
69,4,68100
70,4,69100
71,4,70100
72,4,71100
73,4,72100
74,4,73100
75,4,74100
76,4,75100
77,4,76100
78,4,77100
79,4,78100
80,4,79100
81,4,80100
82,4,81100
83,4,82100
84,4,83100
85,4,84100
86,4,85100
87,4,86100
88,4,87100
89,4,88100
90,4,89100
91,4,90100
92,4,91100
93,4,92100
94,4,93100
95,4,94100
96,4,95100
97,4,96100
98,4,97100
99,4,98100
100,4,99100
101,4,100106
102,4,101114
103,4,102122
104,4,103130
105,4,104138
106,4,105146
107,4,106154
108,4,107162
109,4,108170
110,4,109178
111,4,110186
112,4,111194
113,4,112200
114,4,113208
115,4,114216
116,4,115224
117,4,116232
118,4,117240
119,4,118248
120,4,119256
121,4,120264
122,4,121272
123,4,122280
124,4,123288
125,4,124294
126,4,125302
127,4,126310
128,4,127318
129,4,128326
130,4,129334
131,4,130342
132,4,131350
133,4,132358
134,4,133366
135,4,134374
136,4,135382
137,14,136388
138,14,137412
139,14,138424
140,14,139436
141,14,140448
142,14,141460
143,14,142472
144,14,143484
145,14,144496
146,14,145508
147,14,146520
148,14,147532
149,14,148544
150,14,149556
151,14,150568
152,14,151580
153,14,152592
154,14,153604
155,14,154616
156,14,155628
157,14,156640
158,14,157652
159,14,158664
160,14,159676
161,14,160688
162,14,161700
163,14,162712
164,14,163724
165,14,164736
166,14,165748
167,14,166760
168,14,167772
169,14,168784
170,14,169796
171,14,170808
172,14,171820
173,14,172832
174,14,173844
175,14,174856
176,14,175868
177,14,176880
178,14,177892
179,14,178904
180,14,179916
181,14,180928
182,14,181940
183,14,182952
184,14,183952
185,14,184964
186,14,185976
187,14,186988
188,14,188000
189,14,189012
190,14,190024
191,14,191036
192,14,192048
193,14,193060
194,14,194072
195,14,195084
196,14,196096
197,14,197108
198,14,198120
199,14,199132
200,14,200144
201,14,201156
202,14,202168
203,14,203180
204,14,204192
205,14,205204
206,14,206216
207,14,207228
208,14,208240
209,14,209252
210,14,210264
211,14,211276
212,14,212288
213,14,213300
214,14,214312
215,14,215324
216,14,216336
217,14,217348
218,14,218360
219,14,219372
220,14,220384
221,14,221396
222,14,222408
223,14,223420
224,14,224432
225,14,225444
226,14,226456
227,14,227468
228,14,228480
229,15,229480
230,15,230492
231,15,231504
232,15,232516
233,15,233528
234,15,234540
235,15,235552
236,15,236564
237,15,237576
238,15,238588
239,15,239600
240,15,240612
241,15,241624
242,15,242636
243,15,243648
244,15,244660
245,15,245672
246,15,246684
247,15,247696
248,15,248708
249,15,249720
250,15,250732
251,15,251744
252,15,252756
253,15,253768
254,15,254780
255,15,255792
256,15,256804
257,15,257816
258,15,258828
259,15,259840
260,15,260852
261,15,261864
262,15,262876
263,15,263888
264,15,264900
265,15,265912
266,15,266924
267,15,267936
268,15,268948
269,15,269960
270,15,270972
271,15,271984
272,15,272996
273,15,274008
274,15,275020
275,15,276050
276,15,277058
277,15,278066
278,15,279074
279,15,280082
280,15,281090
281,15,282098
282,15,283106
283,15,284114
284,15,285122
285,15,286130
286,15,287138
287,15,288146
288,15,289154
289,15,290162
290,15,291170
291,15,292178
292,15,293186
293,15,294194
294,15,295202
295,15,296210
296,15,297218
297,15,298226
298,15,299234
299,15,300242
300,15,301250
301,15,302258
302,15,303266
303,15,304274
304,15,305282
305,15,306290
306,15,307298
307,15,308306
308,15,309314
309,15,310322
310,15,311330
311,15,312338
312,15,313346
313,15,314354
314,15,315362
315,15,316370
316,15,317378
317,15,318386
318,15,319394
319,15,320402
320,15,321410
321,15,322418
322,17,323462
323,17,324470
324,17,325478
325,17,326486
326,17,327494
327,17,328502
328,17,329510
329,17,330518
330,17,331526
331,17,332534
332,17,333542
333,17,334550
334,17,335558
335,17,336566
336,17,337574
337,17,338582
338,17,339590
339,17,340598
340,17,341606
341,17,342614
342,17,343622
343,17,344630
344,17,345638
345,17,346646
346,17,347654
347,17,348662
348,17,349670
349,17,350678
350,17,351686
351,17,352694
352,17,353702
353,17,354710
354,17,355718
355,17,356726
356,17,357734
357,17,358742
358,17,359750
359,17,360758
360,17,361766
361,17,362774
362,17,363782
363,17,364790
364,17,365798
365,17,366806
366,17,367814
367,17,368822
368,17,369830
369,17,370838
370,19,371848
371,19,372856
372,19,373864
373,19,374872
374,19,375880
375,19,376888
376,19,377896
377,19,378904
378,19,379912
379,19,380920
380,19,381928
381,19,382936
382,19,383944
383,19,384952
384,19,385960
385,19,386968
386,19,387976
387,19,388984
388,19,389992
389,19,391000
390,19,392008
391,19,393016
392,19,394024
393,19,395032
394,19,396040
395,19,397048
396,19,398056
397,19,399064
398,19,400072
399,19,401080
400,19,402088
401,19,403096
402,19,404104
403,19,405112
404,19,406120
405,19,407128
406,19,408136
407,19,409144
408,19,410152
409,19,411160
410,19,412168
411,19,413176
412,19,414184
413,19,415192
414,19,416200
415,19,417208
416,19,418216
417,19,419224
418,19,420232
419,19,421240
420,19,422248
421,19,423256
422,19,424264
423,19,425272
424,19,426280
425,19,427288
426,19,428336
427,19,429360
428,19,430384
429,19,431408
430,19,432432
431,19,433456
432,19,434480
433,19,435504
434,19,436528
435,19,437552
436,19,438576
437,19,439600
438,19,440624
439,19,441648
440,19,442672
441,19,443696
442,19,444720
443,19,445744
444,19,446768
445,19,447792
446,19,448816
447,19,449840
448,19,450864
449,19,451888
450,19,452912
451,19,453936
452,19,454960
453,19,455984
454,19,457008
455,19,458032
456,19,459056
457,19,460080
458,19,461104
459,19,462128
460,19,463152
461,19,464176
462,19,465200
463,19,466224
464,19,467248
465,19,468272
466,19,469296
467,19,470320
468,19,471344
469,19,472368
470,19,473392
471,19,474416
472,19,475440
473,19,476464
474,19,477488
475,19,478512
476,19,479536
477,19,480560
478,19,481584
479,19,482608
480,19,483632
481,19,484656
482,19,485680
483,19,486704
484,19,487728
485,19,488752
486,19,489776
487,19,490800
488,19,491808
489,19,492832
490,19,493856
491,19,494880
492,19,495904
493,19,496928
494,19,497952
495,19,498976
