,sr,irstp,periodfullpart,miu_period,Atmospheric Temperature 2050,Damages 2050,Total Output 2050,Atmospheric Temperature 2100,Damages 2100,Total Output 2100,Atmospheric Temperature 2150,Damages 2150,Total Output 2150,Atmospheric Temperature 2200,Damages 2200,Total Output 2200,Atmospheric Temperature 2300,Damages 2300,Utility 2300,Total Output 2300
0,0.37415490928230255,0.003770337560905386,45,10,2.6705867599428768,0.9438525138411247,236.69081426265865,3.634847822408039,18.561200183434597,583.8905392859849,2.250473687197487,1.439808624679397,1162.866633146184,0.0,0.015048774102135802,1855.1169353592718,0.0,0.024066869317779,18809.172603101415,2980.956043185441
1,0.15232382198209948,0.0020584667444905665,22,12,2.610288589685487,0.5597417287636474,165.73242333175236,3.943044877225841,21.32681186142602,387.00540191672076,3.532052304125755,19.68366609364591,761.7506316329176,1.8909280326671465,0.4852153829562424,1259.3180698905026,0.0,0.02373275155899662,25024.798587578982,2939.571750985785
2,0.22933373899711296,0.0040052039700717934,15,10,2.6039252857043143,0.6498863206028237,193.2417605067193,3.6084140885812457,14.367606806435012,474.8214609223957,2.7077557484010035,4.033323733046015,938.2795252355645,0.20374235412047081,0.012199705325240656,1503.8815048825977,0.0,0.02373893325097002,18166.133981241583,2940.337423986369
3,0.17258131906364899,0.0067185921265520655,48,10,2.571922560585884,0.532074885525191,171.95691536262422,3.5969186575155754,12.464606304615549,420.9092053165574,2.9163124597805887,5.866024895482905,827.3285721760135,0.9131835341604648,0.014477259704883306,1331.142725803154,0.0,0.02337198514003428,11348.159266578074,2894.886718521271
4,0.2790610201059356,0.011971079323627822,16,10,2.6288209009432477,0.75143799637323,209.56070428872428,3.618017368129653,15.894240527983767,515.9239913918094,2.541613414371276,2.8698909065182954,1022.9109984471564,0.0,0.013270825680046653,1635.9427883073356,0.0,0.02318484133672352,4756.479991374735,2871.7068256960833
5,0.24533712803966795,0.0017444321070324083,16,11,2.6442768971413946,0.7419612982406343,200.32997223650253,3.8233602248694964,21.47728483988598,480.045930575962,2.9865341113716704,7.979659358766735,958.5038982479342,0.48776484953886545,0.012616811435503117,1547.6883809397818,0.0,0.023976186703285992,26964.714327597863,2969.7239679156805
6,0.2550032235905106,0.008613488696785847,50,10,2.6170896869460347,0.7024404389991723,201.89039492274773,3.6134374320895795,15.169364902693617,496.62740762147064,2.6204553412281038,3.3887087269177876,983.1768871097519,0.0,0.012767534358067458,1573.9002426164911,0.0,0.023403189103785048,8406.29781368126,2898.7516850479096
7,0.4393939085887089,0.004837771780993962,24,10,2.6959221199594916,1.0755511717070048,253.08419373868415,3.6452726288478434,20.248764419999727,624.7678666982292,2.0637900722819857,0.8648048753050457,1247.0496661514378,0.0,0.016122211509152905,1987.4434557316483,0.0,0.024105234477542144,15406.276950067993,2985.708005450813
8,0.4912877408597194,0.006943090080554099,21,11,2.754063830045922,1.3023789779165222,267.3002067435131,3.9319368640067496,34.47843365529756,637.7108494672651,2.409990023796117,2.555178262137849,1302.6603585905364,0.0,0.016910809590406063,2084.656799874872,0.0,0.02402989176927172,10469.835942666647,2976.375952388026
9,0.2748875978686742,0.00631982628950621,28,10,2.6268247686714927,0.7429525717476496,208.2576541330775,3.617232088256976,15.770183335135016,512.6485482856938,2.555105931285184,2.9544644703838454,1016.1663321992602,0.0,0.013185351072582828,1625.4060235999154,0.0,0.023639254050997125,12314.47767754542,2927.9910190753
10,0.13848410787014265,0.012641179443897053,27,10,2.5502305602072703,0.45950266357787384,157.22177775340506,3.5899661426609972,11.20467272504314,383.3423917948997,3.0563859898925907,7.299255960362439,750.1132695781025,1.3644539250064036,0.06023662790690799,1210.980667836421,0.0,0.022799024773469928,4038.573159524045,2823.9190473770223
11,0.17713755209887289,0.0035495757297538807,18,12,2.6278530789653214,0.6227883964533165,176.25214582165682,3.96868842881911,23.693112144186326,411.50410486731516,3.4721178240757316,18.770270992702546,815.410919943721,1.635767304638256,0.20140386006258254,1344.3780850041346,0.0,0.023658828417591284,19414.38569461678,2930.4155274573386
12,0.35764745681338017,0.0036886158716148442,42,11,2.699662424400261,0.9974239732850934,234.18667067801653,3.8777444176462073,27.59087153913623,560.5284086700495,2.706549897028053,4.855472104928262,1132.9343867246282,0.0,0.014758479750013438,1819.3312982564516,0.0,0.02404038062217306,19102.273458073443,2977.6751163561134
13,0.2559753255366428,0.0040918563379943665,58,10,2.6175745724654087,0.7044245332888038,202.2080575191137,3.6136249585748983,15.199127849086583,497.42734259821594,2.617217372107005,3.3662238439921097,984.8240115893092,0.0,0.012788385646236668,1576.4706564950054,0.0,0.023790359248914563,17935.011594188163,2946.7071199084053
14,0.4550189547910587,0.009258717538889804,34,11,2.740244669401768,1.219302970152532,258.8838611463786,3.9181272672916996,32.639696135811164,618.2369766914212,2.4878476674183583,3.0601310396106656,1259.6038510865333,0.0,0.016363805673037444,2017.2256440922645,0.0,0.023769088421398136,7147.728074044654,2944.0724855074195
15,0.20346174213286963,0.010801413799264723,17,10,2.589882619392256,0.5965194321802759,183.95483065634355,3.603225418950431,13.52506494007205,451.3445263808067,2.7997763001538214,4.7925106288139805,889.9515455447054,0.5226837359298031,0.01168000823385505,1428.5996866574092,0.0,0.02310653562452013,5783.073756168146,2862.007770828311
16,0.1695330629103235,0.007656786886907596,22,11,2.598882674351561,0.56727784138328,172.12201499754715,3.779979563561439,17.053343190503774,411.73198047496044,3.2065996879213445,10.930525111499668,812.5299950627557,1.327277051185973,0.05632398011421278,1320.4125930710163,0.0,0.023285012163715688,9681.482221403829,2884.114124216319
17,0.19096491276141994,0.011462383487139832,25,10,2.58278455792537,0.5705542983369746,179.23120814226064,3.6006834546055666,13.103804235235192,439.3769362461698,2.84595387817683,5.203472171243752,865.3223725082889,0.6791425962631665,0.011797912175424082,1390.261518262647,0.0,0.023023663535716006,5142.666893684328,2851.7431181778084
18,0.4826567663885001,0.006242214478770639,58,11,2.7508309157191206,1.2825830260970086,265.33050711293225,3.928704231869781,34.04263373255456,633.1621149111871,2.4283750303863645,2.6684073742529684,1292.5886170607641,0.0,0.016782790289786464,2068.8753966176755,0.0,0.02407139592064215,11872.187374116489,2981.516714537491
19,0.22734029659115765,0.008082929582903953,12,10,2.602872374993748,0.6457902948051559,192.54781429840546,3.6080184749127326,14.303991753425098,473.06947221241916,2.7146913416050524,4.087710465277255,934.6725676327219,0.22812665048168457,0.0121542914024207,1498.2599618894317,0.0,0.02338504385439256,9159.988602542606,2896.504189118238
20,0.2590302493594929,0.012287876450349677,15,10,2.619092217056806,0.7106571946549687,203.2019388429199,3.6142129469015614,15.292391983021574,499.9296845329579,2.6070717485892154,3.296428244614523,989.9765471875957,0.0,0.012853619182138223,1584.5122309370838,0.0,0.023115238169484166,4503.380732952722,2863.0856802006983
21,0.4430503603485617,0.0069504102765739675,46,11,2.7355440971593206,1.1919482372724521,256.0226251702345,3.913435404141421,32.028442663006075,611.5943076963645,2.513909588827841,3.2443579614563203,1244.9537294057745,0.0,0.01617784796507079,1994.3019633347353,0.0,0.023934304988336274,10691.666903261164,2964.5364402140153
