,epsilon_progress,nfe
0,0,0
1,1,100
2,1,1100
3,1,2100
4,1,3100
5,1,4100
6,1,5100
7,1,6100
8,1,7100
9,1,8100
10,1,9100
11,1,10100
12,1,11100
13,1,12100
14,1,13100
15,1,14100
16,1,15100
17,1,16100
18,1,17100
19,1,18100
20,1,19100
21,1,20100
22,1,21100
23,1,22100
24,1,23100
25,1,24100
26,1,25100
27,1,26100
28,1,27100
29,1,28100
30,1,29100
31,1,30100
32,1,31100
33,1,32100
34,1,33100
35,1,34100
36,1,35100
37,1,36100
38,1,37100
39,1,38100
40,1,39100
41,1,40100
42,1,41100
43,1,42100
44,1,43100
45,1,44100
46,1,45100
47,1,46100
48,1,47100
49,1,48100
50,1,49100
51,1,50100
52,1,51100
53,1,52100
54,1,53100
55,1,54100
56,1,55100
57,1,56100
58,1,57100
59,1,58100
60,1,59100
61,1,60100
62,1,61100
63,1,62100
64,1,63100
65,1,64100
66,1,65100
67,1,66100
68,1,67100
69,1,68100
70,1,69100
71,1,70100
72,1,71100
73,1,72100
74,1,73100
75,1,74100
76,1,75100
77,1,76100
78,1,77100
79,1,78100
80,1,79100
81,1,80100
82,1,81100
83,1,82100
84,1,83100
85,1,84100
86,1,85100
87,1,86100
88,1,87100
89,1,88100
90,1,89100
91,1,90100
92,1,91100
93,1,92100
94,1,93100
95,1,94100
96,1,95100
97,1,96100
98,1,97100
99,1,98100
100,1,99100
101,1,100106
102,1,101114
103,1,102122
104,1,103130
105,1,104138
106,1,105146
107,1,106154
108,1,107162
109,1,108170
110,1,109178
111,1,110186
112,1,111194
113,1,112200
114,1,113208
115,1,114216
116,1,115224
117,1,116232
118,1,117240
119,1,118248
120,1,119256
121,1,120264
122,1,121272
123,1,122280
124,1,123288
125,5,124294
126,9,125296
127,9,126322
128,9,127348
129,9,128374
130,9,129400
131,9,130426
132,9,131452
133,9,132478
134,9,133504
135,9,134530
136,9,135556
137,9,136582
138,9,137608
139,9,138634
140,9,139660
141,9,140686
142,9,141712
143,9,142738
144,9,143764
145,9,144790
146,9,145816
147,9,146842
148,9,147868
149,9,148894
150,9,149920
151,9,150946
152,9,151972
153,9,152998
154,9,154024
155,9,155050
156,9,156076
157,9,157102
158,9,158128
159,9,159154
160,9,160180
161,9,161206
162,9,162232
163,9,163258
164,9,164274
165,9,165300
166,9,166326
167,9,167352
168,9,168378
169,9,169404
170,9,170430
171,9,171456
172,9,172482
173,9,173508
174,9,174534
175,9,175560
176,9,176586
177,9,177612
178,9,178638
179,9,179664
180,9,180690
181,9,181716
182,9,182742
183,9,183768
184,9,184794
185,9,185820
186,9,186846
187,9,187872
188,9,188898
189,9,189924
190,9,190950
191,9,191976
192,9,193002
193,9,194028
194,9,195054
195,9,196080
196,9,197106
197,9,198132
198,9,199158
199,9,200184
200,9,201210
201,9,202226
202,9,203252
203,9,204278
204,9,205304
205,9,206330
206,9,207356
207,9,208382
208,9,209408
209,9,210434
210,9,211460
211,9,212486
212,9,213512
213,9,214538
214,9,215564
215,9,216590
216,9,217616
217,9,218642
218,9,219668
219,9,220694
220,9,221720
221,9,222746
222,9,223772
223,9,224798
224,9,225824
225,9,226850
226,9,227876
227,9,228902
228,9,229928
229,9,230954
230,9,231980
231,9,233006
232,9,234032
233,9,235058
234,9,236084
235,9,237110
236,9,238136
237,9,239162
238,9,240178
239,9,241204
240,9,242230
241,9,243256
242,9,244282
243,9,245308
244,9,246334
245,9,247360
246,9,248386
247,9,249412
248,9,250438
249,9,251464
250,9,252490
251,9,253516
252,9,254542
253,9,255568
254,9,256594
255,9,257620
256,9,258646
257,9,259672
258,9,260698
259,9,261724
260,9,262750
261,9,263776
262,9,264802
263,9,265828
264,9,266854
265,9,267880
266,9,268906
267,9,269932
268,9,270958
269,9,271984
270,9,273010
271,9,274036
272,9,275062
273,9,276088
274,9,277114
275,10,278130
276,10,279156
277,10,280182
278,10,281208
279,10,282234
280,10,283260
281,10,284286
282,10,285312
283,10,286338
284,10,287364
285,10,288390
286,10,289416
287,10,290442
288,10,291468
289,10,292494
290,10,293520
291,10,294546
292,10,295572
293,10,296598
294,10,297624
295,10,298650
296,10,299676
297,10,300702
298,10,301728
299,10,302754
300,10,303780
301,10,304806
302,10,305832
303,10,306858
304,10,307884
305,10,308910
306,10,309936
307,10,310962
308,10,311988
309,10,313014
310,10,314040
311,10,315066
312,10,316080
313,10,317080
314,10,318080
315,10,319080
316,10,320080
317,10,321080
318,10,322080
319,10,323080
320,10,324080
321,10,325080
322,10,326080
323,10,327080
324,10,328080
325,10,329080
326,10,330080
327,10,331080
328,10,332080
329,10,333080
330,10,334080
331,10,335080
332,10,336080
333,10,337080
334,10,338080
335,10,339080
336,10,340080
337,10,341080
338,10,342080
339,10,343080
340,10,344080
341,10,345080
342,10,346080
343,10,347080
344,10,348080
345,10,349080
346,10,350080
347,10,351080
348,10,352080
349,10,353080
350,10,354080
351,10,355080
352,11,356110
353,11,357110
354,11,358110
355,11,359110
356,11,360110
357,11,361110
358,11,362110
359,11,363110
360,11,364110
361,11,365110
362,11,366110
363,11,367110
364,11,368110
365,11,369110
366,11,370110
367,11,371110
368,11,372110
369,11,373110
370,11,374110
371,11,375110
372,11,376110
373,11,377110
374,11,378110
375,11,379110
376,11,380110
377,11,381110
378,11,382110
379,11,383110
380,11,384110
381,11,385110
382,11,386110
383,11,387110
384,11,388110
385,11,389110
386,11,390110
387,11,391110
388,11,392110
389,11,393110
390,11,394110
391,11,395110
392,11,396154
393,11,397166
394,11,398178
395,11,399190
396,11,400202
397,11,401214
398,11,402226
399,11,403238
400,11,404250
401,11,405262
402,11,406274
403,11,407286
404,11,408298
405,11,409310
406,11,410322
407,11,411334
408,11,412346
409,11,413358
410,11,414370
411,11,415382
412,11,416394
413,11,417406
414,11,418418
415,11,419430
416,11,420442
417,11,421454
418,11,422466
419,11,423478
420,11,424490
421,11,425502
422,11,426514
423,11,427526
424,11,428538
425,11,429550
426,11,430562
427,11,431574
428,11,432586
429,11,433598
430,11,434610
431,11,435622
432,11,436634
433,11,437646
434,11,438658
435,11,439670
436,11,440682
437,11,441682
438,11,442694
439,11,443706
440,11,444718
441,11,445730
442,11,446742
443,11,447754
444,11,448766
445,11,449778
446,11,450790
447,11,451802
448,11,452814
449,11,453826
450,11,454838
451,11,455850
452,11,456862
453,11,457874
454,11,458886
455,11,459898
456,11,460910
457,11,461922
458,11,462934
459,11,463946
460,11,464958
461,11,465970
462,11,466982
463,11,467994
464,11,469006
465,11,470018
466,11,471030
467,11,472042
468,11,473054
469,11,474066
470,11,475078
471,11,476090
472,11,477102
473,11,478114
474,11,479126
475,11,480138
476,11,481150
477,11,482162
478,11,483174
479,11,484186
480,11,485198
481,11,486210
482,11,487222
483,12,488222
484,12,489234
485,12,490246
486,12,491258
487,12,492270
488,12,493282
489,12,494294
490,12,495306
491,12,496318
492,12,497330
493,12,498342
494,12,499354
