,t2xco2_index,t2xco2_dist,fdamage,tfp_gr,sigma_gr,pop_gr,fosslim,cback,Atmospheric Temperature 2050,Damages 2050,Utility 2050,Total Output 2050,Atmospheric Temperature 2100,Damages 2100,Utility 2100,Total Output 2100,Atmospheric Temperature 2150,Damages 2150,Utility 2150,Total Output 2150,Atmospheric Temperature 2200,Damages 2200,Utility 2200,Total Output 2200,Atmospheric Temperature 2300,Damages 2300,Utility 2300,Total Output 2300
252,927,2,1,0.07973704390503901,-0.01173520318123671,0.10541175700404568,4119.707571624355,355,2.855911959050767,6.283465772350703,-1922.0138451661303,188.64466324049104,5.930373980597969,85.96338793717834,40.34973640607086,393.5188389331652,8.142669592240008,291.0755406352933,1180.6751663358045,538.2413093228181,8.684866703986721,495.89367290280984,1773.4956703481303,759.5506562507901,7.711333227433699,743.4470211457929,2232.0820073428795,1642.5840807549491
253,927,2,1,0.0874778003307517,-0.011657457541796484,0.10351400946266287,5180.087495294437,477,2.855706551254453,6.263607042658383,-1926.048689710954,187.943374192331,5.930828826115539,85.68688370660323,29.237372548412168,390.8507460249737,8.144868979115822,290.13987475849154,1165.5600116932674,532.5332331191663,8.68263132373141,494.44258852683527,1756.9040316642122,755.3229814433192,7.674504753517714,737.030622208146,2215.2781129260975,1650.226523316551
254,927,2,1,0.07140449743148408,-0.011327754400631879,0.10224530171072703,4303.689826473431,489,2.858316883426252,6.2651721676833825,-1928.5886736258856,187.54236982747148,5.951563970345259,86.16080941857537,22.212673102275403,389.0427122007754,8.18559967436126,292.02209013282993,1155.3372570692527,526.98001446418,8.703678489790436,495.29215272208677,1745.1431507215502,750.0714286383609,7.536309674417359,713.9410711510085,2203.6235811894994,1685.1285412161387
255,927,2,1,0.08836964379957318,-0.011635163186886208,0.10197451624219903,4003.079497640457,293,2.85516341158776,6.2475557847143275,-1928.497688630367,187.7572972451089,5.929041037730542,85.59770536707558,24.910621100203116,392.71003445059995,8.143120230290943,290.7483404715486,1162.6081865520437,539.1719476906844,8.676478568462747,495.0027385048579,1755.007325382935,761.6370887853187,7.649431079251899,733.3529476424765,2213.771659138217,1659.52699327313
256,927,2,1,0.08821870441347346,-0.011602828710261498,0.10034321778739491,4196.185303371511,170,2.8546626226085583,6.230259231094363,-1931.3259182031713,187.45723477241083,5.927515576219752,85.45748931300284,18.997485950268583,393.6414011091946,8.141818546277236,291.00752518918176,1156.8977242875435,543.3823722834337,8.670769495665615,495.1147279188878,1749.816430897611,765.9117248820062,7.621798930592415,729.0805589123743,2208.8413986479836,1668.5649062977393
257,927,2,1,0.08794123854499096,-0.011564149230950655,0.10115665049973983,4344.692180062527,305,2.8554450047509508,6.241127487026548,-1930.1366081782323,187.50359257709303,5.932041227075093,85.58810788576703,20.621293096346108,391.9822921699602,8.149518500776889,290.8624768470269,1156.9903040862646,537.6831702344984,8.678353806805992,494.83266876820414,1748.910908594813,760.5349815762295,7.617119276888236,727.9422042835279,2207.6789298487784,1667.6308340954774
258,816,2,2,0.07887876941364196,-0.011759026255575018,0.1000001554708588,4342.8219316690165,425,2.729745379222643,0.8698536207280051,-1915.243988698352,193.63838320705634,5.4625339756214295,153.17054048299897,28.144349890595095,311.7036153750862,7.200899021845939,455.0975641672798,869.0558243083051,136.81822515200258,7.528600125451054,619.3146098165936,1161.643105299483,141.16739753264068,6.974118761330093,1138.7084975185478,1451.858425974956,448.6933588742013
259,927,2,1,0.07628337441112641,-0.011816897338304847,0.10074769230448667,5719.9372272827695,122,2.852770254560292,6.224600795019067,-1930.3722131857219,187.6516977750398,5.913219900393347,85.10582408803864,22.18110251272401,395.12063296293076,8.114238220035789,289.7918180035423,1162.2441050259486,548.1443815659057,8.655036537791196,494.5073382279479,1756.2816166687044,770.4076740178467,7.70286375039828,742.7036432142452,2215.3051866220103,1648.4178888895883
260,927,2,2,0.07531344607896015,-0.008029230719171776,0.10875227868163337,4197.821995656691,440,2.896294220266671,1.3108176808867296,-1898.7438379719295,195.61975851420968,6.231559351081539,238.16074837842467,-25.735296501688026,196.0557368503608,8.688763003893381,369.5861131151804,149.84471422643992,23.58017378760112,9.580782933696225,362.0489302438023,-542.185259340743,11.680248646910057,9.804554247282955,627.4772623237438,-1051.617099854037,22.093672759065225
261,927,2,2,0.07354357136250907,-0.009271335658506833,0.10203983141845638,5597.471496176577,290,2.8798413653684345,1.249462271825114,-1911.2914872263668,193.98258269870132,6.1150587813195605,225.71299553916072,-35.59955864665926,213.87340939342067,8.473614420389447,395.9345028722671,321.3194196168997,36.26064279081139,9.337583289928038,421.36470122721283,-39.104348173262224,20.069088794676897,9.60930718767913,689.2744950933912,-336.9380921147854,29.850034350556072
262,927,2,1,0.08465702311896259,-0.010356708063285362,0.10060684014765835,5600.938317793782,589,2.8671465100752607,6.294985222771819,-1932.215812215034,186.85298726857172,6.0190447539183225,87.9204333871797,10.127875840469187,383.3963611132779,8.316549702388084,297.9989764565292,1134.1011349918936,507.07133168113273,8.772604158782574,497.7473959302808,1718.823843414203,730.862825718907,7.051017399452121,632.5389825702383,2177.660455392609,1804.7683137219803
263,927,2,2,0.07686276089770133,-0.008673865646247158,0.10445643824238986,5451.1903688243065,276,2.8872913740858213,1.2759434114403538,-1906.5276494931024,194.68062901245875,6.168744429367236,231.6371798690889,-31.55999729205132,206.79277023462893,8.573567532940098,388.67535814701114,270.74010833064494,32.323478918275924,9.440557529366064,406.8174356389426,-164.83360412230059,17.61320841680043,9.64466989135827,677.3187839593767,-507.6678890234525,28.4218404693883
264,927,2,2,0.08052070054516015,-0.00801276782824041,0.10165739320490504,4277.502618222336,415,2.8926697141525546,1.2862369379266327,-1912.5182730740532,193.6120778490986,6.213345884397813,234.54262873278526,-55.136076566516294,197.3163757535139,8.660963103482477,371.698528858359,145.97966409312858,24.958017297472907,9.540520903604515,369.84393916392116,-490.11677389122633,12.70371598222031,9.720681100191157,643.8430838284598,-954.8015393710443,24.34407653364417
265,927,2,2,0.08308451481188024,-0.008686279086772285,0.10706334261686082,6312.379088144328,372,2.8885314193494613,1.2844183637168425,-1901.7478390293813,195.28397819328038,6.174462485824329,232.61327202005265,-22.782506426915916,205.15052843909382,8.581693602217994,383.61434961666896,250.30633088074956,29.664431754103763,9.46000540032718,393.5478076613286,-253.08381412861718,15.681000503935646,9.7101254043474,659.3185475234204,-643.3973463754714,25.818763115731535
