,cback,fdamage,fosslim,pop_gr,sigma_gr,t2xco2_dist,t2xco2_index,tfp_gr,sr,irstp,periodfullpart,miu_period,scenario,policy,model,Atmospheric Temperature 2010,Damages 2010,Utility 2010,Total Output 2010,Atmospheric Temperature 2050,Damages 2050,Utility 2050,Total Output 2050,Atmospheric Temperature 2100,Damages 2100,Utility 2100,Total Output 2100,Atmospheric Temperature 2150,Damages 2150,Utility 2150,Total Output 2150,Atmospheric Temperature 2200,Damages 2200,Utility 2200,Total Output 2200,Atmospheric Temperature 2300,Damages 2300,Utility 2300,Total Output 2300
51,337.0,1.0,9305.358253591801,0.11914004955899485,-0.010048165067856177,2.0,463.0,0.08175234149848433,0.2486824883516668,0.015,0.0,29.0,7461,nord_optimal_policy,dicesmEMA,0.8,0.09194547631814314,-3689.589554339577,63.489814684846294,2.8176395753437458,6.2031735737502025,-1895.626703028172,192.59034557061432,5.853135366762168,84.87189344104344,104.85443217188505,402.1369362141089,7.951311390242764,281.4251582326577,1261.2650775786826,557.1615824520396,8.134440423842086,448.5769540471471,1863.9310149004739,837.9226305105353,5.816764294425037,438.21113983169806,2334.5958862838643,2128.302163096141
52,406.0,1.0,13475.496256449764,0.14680025031261418,-0.01097007508523224,2.0,802.0,0.08753361692750038,0.2486824883516668,0.015,0.0,29.0,7656,nord_optimal_policy,dicesmEMA,0.8,0.09194547631814314,-3689.5897254353667,63.489768277130096,2.9040094267768244,6.897015700141755,-1848.5753463423416,198.55090576044998,6.159460842176629,96.30384237634593,197.73326988362575,396.8882680451068,8.558919925039742,318.9630346022252,1348.3405667057268,503.54554420902946,9.182146863740607,535.8377131226883,1933.5294391430414,685.5568246976633,8.075096903578169,797.3080981410725,2385.776973769377,1535.172127146466
53,533.0,2.0,10076.945045182296,0.11577911533682494,-0.010557333494547173,1.0,123.0,0.08299520841902985,0.2486824883516668,0.015,0.0,29.0,8022,nord_optimal_policy,dicesmEMA,0.8,0.0005838111361323138,-3689.253558675522,63.581044525211276,2.6111229678628547,0.6605538899579797,-1884.780813089647,198.22645267144551,5.09826623384954,114.17063275998748,129.23833581792178,369.1431538836045,6.491809202784432,429.20544019815725,1140.3555013550367,261.36967312324504,6.316349613303988,590.4904284252909,1627.5618801660128,445.84486629976624,4.439066968901813,278.2580246268069,2074.6650563859093,2323.9615518413143
54,268.0,2.0,11480.194900231092,0.11340190910105315,-0.011613210791347821,2.0,305.0,0.08825204021420725,0.2486824883516668,0.015,0.0,29.0,8654,nord_optimal_policy,dicesmEMA,0.8,0.0005838111361323138,-3689.2529029368816,63.58122275774452,2.6710949375414743,0.7670360074262518,-1888.5826674121122,197.85140107581486,5.267619958797781,133.1456133776415,110.7713469495275,348.28252883417485,6.815394776132092,454.25593220370325,1063.5091970389913,204.275783923179,6.905469549512546,643.1984660755144,1479.522739703826,268.4711873908,5.847626559963999,921.0350287361598,1868.8758264638254,1197.3970626335927
55,224.0,2.0,6978.489860060981,0.14541549858958572,-0.011327821435016436,2.0,724.0,0.08959902926924516,0.2486824883516668,0.015,0.0,29.0,8702,nord_optimal_policy,dicesmEMA,0.8,0.0005838111361323138,-3689.252794059781,63.581252351070795,2.718248542655881,0.8979902896095001,-1831.1838826649985,205.9070614239867,5.456500856182622,159.22340124943162,221.2125246898572,328.52294333734693,7.139507859130765,465.7295215031603,1106.0255238197888,152.6386963788767,7.347238977966566,635.7688197850538,1439.2472460539984,174.04220270462002,6.50603609961119,1103.55228715029,1771.0239881265286,697.4995420186223
56,529.0,2.0,7549.808960904305,0.13701901120133111,-0.011243131704846244,1.0,123.0,0.08811068743176645,0.2486824883516668,0.015,0.0,29.0,8736,nord_optimal_policy,dicesmEMA,0.8,0.0005838111361323138,-3689.253548777561,63.58104721551367,2.6143406159736204,0.6844096539621354,-1846.271687344375,203.71057678390838,5.09363171671,115.71550200528047,215.49132752001103,376.8683395841214,6.467802645845332,431.11158549312216,1244.154671088274,270.78584362554943,6.335623825982281,598.3930781992105,1736.6617792637396,443.8007252151247,4.776611694099598,415.1487735518657,2180.099271948765,2114.3386700307487
57,458.0,1.0,5045.995995208295,0.1311486979725473,-0.009883827281651093,2.0,802.0,0.08099250333676886,0.2486824883516668,0.015,0.0,29.0,8781,nord_optimal_policy,dicesmEMA,0.8,0.09194547631814314,-3689.5898543772414,63.489733303199046,2.9077954578576364,6.792847338540168,-1875.5205474569207,194.83160134336075,6.210788685362102,96.88110739952307,138.80358862573848,389.2005178278944,8.6725056959362,323.21214956714067,1276.0622179738193,485.92739399097235,9.21447673084749,534.723548857293,1856.070228431072,673.0784858747271,7.4060875252821905,687.7659665916877,2309.913516017105,1705.7440398703327
58,294.0,1.0,12754.382823727889,0.11427401721900535,-0.011697537369379812,2.0,133.0,0.08590764912349029,0.2486824883516668,0.015,0.0,29.0,8804,nord_optimal_policy,dicesmEMA,0.8,0.09194547631814314,-3689.589447714756,63.48984360559698,2.800783332052516,6.07417562044564,-1904.331981470944,191.49780322554557,5.728103144835688,80.74276523231703,88.37553409072416,406.4536743057363,7.7209260121080705,267.92322418631863,1250.212316960644,582.5062907838003,8.025340214542288,441.3306353846664,1857.5140112931315,861.8633692760642,6.683028428973691,578.6150911307192,2326.8362000719517,1924.7371314105678
59,328.0,2.0,8208.645626053729,0.10224528614848992,-0.011724968416794716,1.0,681.0,0.07805988961038246,0.2486824883516668,0.015,0.0,29.0,8991,nord_optimal_policy,dicesmEMA,0.8,0.0005838111361323138,-3689.2530514057744,63.581182403208686,2.601428414472796,0.6319037069022022,-1910.2316299250476,194.7011342988727,5.0171232611065975,104.02922468157853,74.84424225725706,377.78391067399286,6.362191686796568,418.1152811378762,1109.0265470596232,300.1482234144272,6.250050317579197,588.8191530906687,1616.1355504980747,483.54711889338586,4.815137654466387,433.888001350056,2062.5414359229508,2095.668014600198
60,596.0,2.0,13247.689829386829,0.1221443683650421,-0.011911308545882168,2.0,800.0,0.08873353536554214,0.2486824883516668,0.015,0.0,29.0,9066,nord_optimal_policy,dicesmEMA,0.8,0.0005838111361323138,-3689.253714568496,63.581002152948656,2.725261873955056,0.8878227367825327,-1873.3196706191752,199.6466905862161,5.452753868874706,155.568577952833,126.86905022224936,318.74158893023065,7.160009505250372,457.3345180601577,984.6317328061932,139.90971475993726,7.458543915258303,622.8299153063448,1287.6039773957084,149.54964873032057,6.882852587574687,1139.696951092413,1589.1267932703986,490.11092033037283
