,cback,fdamage,fosslim,pop_gr,sigma_gr,t2xco2_dist,t2xco2_index,tfp_gr,sr,irstp,periodfullpart,miu_period,scenario,policy,model,Atmospheric Temperature 2010,Damages 2010,Utility 2010,Total Output 2010,Atmospheric Temperature 2050,Damages 2050,Utility 2050,Total Output 2050,Atmospheric Temperature 2100,Damages 2100,Utility 2100,Total Output 2100,Atmospheric Temperature 2150,Damages 2150,Utility 2150,Total Output 2150,Atmospheric Temperature 2200,Damages 2200,Utility 2200,Total Output 2200,Atmospheric Temperature 2300,Damages 2300,Utility 2300,Total Output 2300
10,423.0,2.0,11675.79180255439,0.12989474325792288,-0.008512420784365041,1.0,190.0,0.07775242860495354,0.2486824883516668,0.015,0.0,29.0,4380,nord_optimal_policy,dicesmEMA,0.8,0.0005838111361323138,-3689.2532864818013,63.58111850852696,2.815796142405622,1.1166138031214634,-1859.124062581388,201.5658323093916,5.915016327375634,210.74199262558318,109.47425179903804,248.36421115362995,8.024749747571585,421.7681218544953,645.1388848188262,54.31813958305276,8.497212492190856,498.6357639443525,572.9612587161672,45.4681972387982,7.753114808423115,1014.1205183575822,655.3808105175349,192.1214435101734
11,439.0,2.0,8270.388314860847,0.1185599012177444,-0.009325656819764735,2.0,463.0,0.07280358791906967,0.2486824883516668,0.015,0.0,29.0,4434,nord_optimal_policy,dicesmEMA,0.8,0.0005838111361323138,-3689.2533260735854,63.58110774731741,2.82561178734779,1.1262410836465224,-1879.865404351049,198.58496153210143,5.915191045393728,208.65021843135554,63.210380357759725,246.03245295481946,8.047457956968481,420.93461040659423,595.011426172603,53.71345758057933,8.629349963778138,490.04096962027046,499.53744526039833,40.31478891243663,8.287628684171894,933.171894392847,517.050130167916,112.04373309525101
12,326.0,2.0,13111.153616000527,0.12403920235200347,-0.011562619318782623,2.0,463.0,0.08180049805808431,0.2486824883516668,0.015,0.0,29.0,4844,nord_optimal_policy,dicesmEMA,0.8,0.0005838111361323138,-3689.25304645681,63.58118374835989,2.805650429291536,1.0819894853813286,-1869.2807971444736,200.3056201109589,5.7606990393743125,192.48839239791144,106.9977965766193,274.00018166464434,7.756348321063443,446.7860652006018,787.5904036326082,80.43034135631908,8.354980704293933,545.6916228617343,864.6261913878087,60.53268522451385,8.33487226405339,954.0888512658936,952.7652066576857,112.04733859313156
13,541.0,2.0,9489.96533206098,0.14301672240295854,-0.00973402695506979,2.0,367.0,0.0869681756260692,0.2486824883516668,0.015,0.0,29.0,5441,nord_optimal_policy,dicesmEMA,0.8,0.0005838111361323138,-3689.2535784714473,63.58103914460651,2.815493590937668,1.1332008674947305,-1836.5678684885006,204.5830806499021,5.870084150661165,207.32960440583486,160.42110718989443,256.52075525364313,7.93238407927949,427.85561068358805,736.0909971715755,59.367327309934105,8.461885954572248,507.16653690665834,695.5905565055708,47.50568868251726,8.083200746066804,975.1917394585744,762.7328485596936,138.7731567385195
14,578.0,2.0,8908.327815215329,0.1244540218284565,-0.011300768309159912,2.0,405.0,0.08087476369024699,0.2486824883516668,0.015,0.0,29.0,5580,nord_optimal_policy,dicesmEMA,0.8,0.0005838111361323138,-3689.253670027632,63.581014259309406,2.7881324271588666,1.0377271598932307,-1869.2348675270434,200.09729326973925,5.7043960284372375,185.58045985430772,110.44605946726143,279.59734561517797,7.641499689042772,444.8595267126839,810.9946704987343,84.0824355092149,8.157100526292687,554.5802212009014,919.0366761690357,69.92983859028064,7.945727122091041,1021.1317176637548,1061.5435696010854,164.74656950346332
15,298.0,2.0,8192.961102776326,0.1280508112908319,-0.009748964809076678,2.0,983.0,0.08551144209889203,0.2486824883516668,0.015,0.0,29.0,5948,nord_optimal_policy,dicesmEMA,0.8,0.0005838111361323138,-3689.252977171311,63.58120258047661,2.84056045517712,1.1815862824559589,-1862.0690416545774,201.24734882376328,5.960172997436192,215.64542877893902,98.7908013703027,243.36277376897996,8.130998040214365,423.64315703590864,620.6958919080308,53.31523662206151,8.787080604347503,486.4528601426503,507.2927634266443,36.903708907542615,8.66945505193874,869.3586317159405,470.81236416539736,77.44418027299416
16,193.0,2.0,5417.199081703813,0.10489689224767694,-0.008513945576037877,2.0,47.0,0.07830319332660182,0.2486824883516668,0.015,0.0,29.0,5999,nord_optimal_policy,dicesmEMA,0.8,0.0005838111361323138,-3689.2527173509584,63.581273200914296,2.7159782730631723,0.8473437381731279,-1904.9200586878226,195.401150782372,5.535794600115112,163.10682158983022,50.37685202127159,304.97782216306035,7.312642231827719,455.0599551299716,860.7670204810147,125.18768251089425,7.358215952631547,614.6262333754703,1153.8021307058416,165.31282745592551,5.2937119354806095,634.4736612462304,1512.9753063341284,1614.6484592412726
17,508.0,2.0,9570.906838383342,0.1456396175861427,-0.008113768168151805,2.0,947.0,0.07518984101086047,0.2486824883516668,0.015,0.0,29.0,6043,nord_optimal_policy,dicesmEMA,0.8,0.0005838111361323138,-3689.2534968132722,63.58106133960121,2.7385052277618285,0.9437075178612988,-1831.8749570178186,205.3972670389385,5.650448783556382,182.1176417427601,196.78674482297632,291.73150900124375,7.4839475030048535,445.4447789340261,934.7662607795282,94.50165608024359,7.56788209023173,584.8714843087774,1140.6715317425326,122.43678887726128,5.584734981310997,761.3027324508985,1465.1481020711872,1342.555866449969
18,258.0,2.0,8391.276287458692,0.11116699495780508,-0.011738612887255709,2.0,463.0,0.07952859518714141,0.2486824883516668,0.015,0.0,29.0,6132,nord_optimal_policy,dicesmEMA,0.8,0.0005838111361323138,-3689.2528781920796,63.58122948350049,2.7976410241702387,1.0430612837502815,-1893.1354085615076,196.9383311869931,5.718888680112218,185.4156688540753,57.932548138346185,278.0548595353981,7.6899269126056895,449.49188303269324,763.6012839867335,87.42128488599819,8.277288475089371,557.2743053350673,875.0879320837421,66.83103987137552,8.247496750639097,974.193647717281,986.4501927669098,123.29348023649315
19,134.0,2.0,8197.716394528834,0.10111532624727453,-0.010877056270998314,2.0,823.0,0.08815349657860683,0.2486824883516668,0.015,0.0,29.0,6621,nord_optimal_policy,dicesmEMA,0.8,0.0005838111361323138,-3689.252571356848,63.581312882874535,2.74901502164276,0.9137715293949576,-1912.2516326673087,194.31533042577317,5.564651887265476,165.6887025247566,29.37534652943123,300.2151041157357,7.390852313158258,457.73007745305847,828.1479340733878,119.67500229079084,7.735890201643567,607.3667881548405,1076.6119587190003,117.68786526663612,7.077256167309157,1127.4273752165664,1340.2537435980605,403.65392083236327
